isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector,change,oldisin,oldsecurityid,oldsymbol
INE1K8Y01018,215183,MUNISH,,MUNISH,,Munish Forge,,MUNISH,,,new,,,
INE1KH601014,544472,MEHUL,,,,Mehul Colours,,MEHUL,,,new,,,
INE1KLZ01011,544541,SYSTEMATIC,,,,Systematic Industries,,SYSTEMATIC,,,new,,,
INE1LDV01015,544531,TRUECOLORS,,,,True Colors,,TRUECOLORS,,,new,,,
INE1LJ801017,544468,BDI,,,,BD Industries (Pune),,BDI,,,new,,,
INE1M3T01017,213638,JYOTIGLOBL,,JYOTIGLOBL,,Jyoti Global Plast,,JYOTIGLOBL,,,new,,,
INE1OIC01018,213708,SNEHAA,,SNEHAA,,Snehaa Organics,,SNEHAA,,,new,,,
INE1P1A01018,544464,UML,,,,Umiya Mobile,,UML,,,new,,,
INE1PJP01015,544553,MPKSTEELS,,,,M P K Steels,,MPKSTEELS,,,new,,,
INE1SY401010,544420,RAYMONDREL,,RAYMONDREL,,Raymond Realty,,RAYMONDREL,,,new,,,
INE1VXE01018,544395,STLNETWORK,,STLNETWORK,,STL Networks,,STLNETWORK,,,new,,,
INE206C01029,526490,PRATIK,,,,Pratik Panels,,PRATIK,,,new,,,
INE218I01013,544580,CRAMC,,CRAMC,,Canara Robeco Asset Management Company,,CRAMC,,,new,,,
INE227J01012,544423,KALPATARU,,KALPATARU,,Kalpataru,,KALPATARU,,,new,,,
INE234J01018,531406,ANSINDUS,,,,ANS Industries,,ANSINDUS,,,new,,,
INE236E01022,544421,ELLEN,,ELLEN,,Ellenbarrie Industrial Gases,,ELLEN,,,new,,,
INE293A01013,500366,ROLTA,,ROLTA,,Rolta India,,ROLTA,,,new,,,
INE296A01032,500034,BAJFINANCE,,BAJFINANCE,,Bajaj Finance,,BAJFINANCE,,,new,,,
INE301O01023,544467,NSDL,,,,National Securities Depository (NSDL),,NSDL,,,new,,,
INE304W01038,544484,BLUESTONE,,BLUESTONE,,BlueStone Jewellery & Lifestyle,,BLUESTONE,,,new,,,
INE324D01010,544576,LGEINDIA,,LGEINDIA,,LG Electronics,,LGEINDIA,,,new,,,
INE330H01018,532712,RCOM,,RCOM,,Reliance Communications,,RCOM,,,new,,,
INE335Q01026,517286,RNITAI,,,,Rnit Ai Solutions,,RNITAI,,,new,,,
INE345Q01017,539224,HCKKVENTURE,,,,HCKK Ventures,,HCKKVENTURE,,,new,,,
INE346R01013,544510,NCML,,,,Nilachal Carbo Metalicks,,NCML,,,new,,,
INE364S01014,539922,RGIL,,,,Rotographics,,RGIL,,,new,,,
INE407E01029,532078,MONIND,,,,Monind,,MONIND,,,new,,,
INE425B01027,532368,BCG,,BCG,,Brightcom Group,,BCG,,,new,,,
INE448F01012,540189,UPROTECH,,,,Unipro Technologies,,UPROTECH,,,new,,,
INE471D01019,512265,AVONMERC,,,,Avon Mercantile,,AVONMERC,,,new,,,
INE474L01016,533317,OMKARCHEM,,OMKARCHEM,,Omkar Speciality Chemicals,,OMKARCHEM,,,new,,,
INE491C01027,538743,MUDUNURU,,,,Mudunuru,,MUDUNURU,,,new,,,
INE506V01022,544578,RUBICON,,RUBICON,,Rubicon Research,,RUBICON,,,new,,,
INE526C01012,531272,NIKKIGL,,,,Nikki Global Finance,,NIKKIGL,,,new,,,
INE533B01028,511539,SUPRATRE,,,,Supra Trends,,SUPRATRE,,,new,,,
INE541C01037,532444,TSPIRITUAL,,,,T Spiritual World,,TSPIRITUAL,,,new,,,
INE542F01020,533107,SWANDEF,,SWANDEF,,Swan Defence & Heavy Industries,,SWANDEF,,,new,,,
INE546I01025,537707,LADDU,,,,Laddu Gopal Online Services,,LADDU,,,new,,,
INE549H01021,544530,ARSSBL,,ARSSBL,,Anand Rathi Share & Stock Brokers,,ARSSBL,,,new,,,
INE554H01021,531676,VAGHANI,,,,Vaghani Techno Build,,VAGHANI,,,new,,,
